game_id,season,week,simple_spread,enhanced_spread,simple_spread_edge,enhanced_spread_edge,simple_spread_edge_abs,enhanced_spread_edge_abs,avg_spread_edge,avg_spread_edge_abs,spread_agreement,spread_model_diff,vegas_spread,vegas_spread_abs,big_favorite,close_game,recent_spread_acc,home_games,away_games,combined_games,home_rest,away_rest,rest_diff,home_post_bye,away_post_bye,bye_advantage,week_normalized,early_season,mid_season,late_season,neutral_site,is_dome,is_primetime,spread_cover,actual_spread
401671806,2024,13,-7.099383167191816,-11.624801775569304,6.400616832808184,1.8751982244306955,6.400616832808184,1.8751982244306955,4.13790752861944,4.13790752861944,1,4.525418608377488,-13.5,13.5,1,0,0.3,1.0,1.0,1.0,5,5,0,0,0,0,0.7647058823529411,0,0,1,0,0,0,1.0,-2
401671620,2024,13,-1.3429101506421608,-1.3684170111301568,-3.842910150642161,-3.868417011130157,3.842910150642161,3.868417011130157,-3.8556635808861586,3.8556635808861586,1,0.025506860487995997,2.5,2.5,0,1,0.35,1.0,1.0,1.0,7,7,0,0,0,0,0.7647058823529411,0,0,1,0,0,0,1.0,1
401671627,2024,13,-3.5313717272098675,-3.696331711744896,-0.03137172720986747,-0.19633171174489616,0.03137172720986747,0.19633171174489616,-0.11385171947738204,0.11385171947738204,1,0.1649599845350287,-3.5,3.5,0,0,0.35,1.0,1.0,1.0,13,9,4,1,0,1,0.7647058823529411,0,0,1,0,0,0,0.0,6
401671649,2024,13,-7.262464271914028,-3.8064700425434794,-7.762464271914028,-4.306470042543479,7.762464271914028,4.306470042543479,-6.034467157228754,6.034467157228754,1,3.4559942293705483,0.5,0.5,0,1,0.35,1.0,1.0,1.0,14,5,9,1,0,1,0.7647058823529411,0,0,1,0,1,0,0.0,4
401671703,2024,13,-1.0289984639625631,0.12840328100696263,0.4710015360374369,1.6284032810069626,0.4710015360374369,1.6284032810069626,1.0497024085221998,1.0497024085221998,1,1.1574017449695257,-1.5,1.5,0,1,0.35,1.0,1.0,1.0,14,7,7,1,0,1,0.7647058823529411,0,0,1,0,0,0,1.0,5
401671726,2024,13,-3.2339812412596896,-4.6645319123675915,0.26601875874031045,-1.1645319123675915,0.26601875874031045,1.1645319123675915,-0.4492565768136405,0.4492565768136405,0,1.430550671107902,-3.5,3.5,0,0,0.3,1.0,1.0,1.0,7,7,0,0,0,0,0.7647058823529411,0,0,1,0,1,0,0.0,-1
401671743,2024,13,-7.471528828880199,-5.15681066233339,-1.9715288288801993,0.34318933766661,1.9715288288801993,0.34318933766661,-0.8141697456067947,0.8141697456067947,0,2.3147181665468093,-5.5,5.5,0,0,0.35,1.0,1.0,1.0,7,7,0,0,0,0,0.7647058823529411,0,0,1,0,0,0,1.0,-23
401671752,2024,13,2.7691187067897642,2.774563226091407,-3.7308812932102358,-3.725436773908593,3.7308812932102358,3.725436773908593,-3.7281590335594146,3.7281590335594146,1,0.005444519301642803,6.5,6.5,0,0,0.4,1.0,1.0,1.0,7,7,0,0,0,0,0.7647058823529411,0,0,1,0,0,0,1.0,3
401671753,2024,13,-5.677644656530648,-6.779497460760245,-8.17764465653065,-9.279497460760245,8.17764465653065,9.279497460760245,-8.728571058645446,8.728571058645446,1,1.1018528042295967,2.5,2.5,0,1,0.35,1.0,1.0,1.0,14,6,8,1,0,1,0.7647058823529411,0,0,1,0,1,0,0.0,7
401671666,2024,13,-3.6636967401224614,-3.999388842361101,-0.16369674012246138,-0.49938884236110104,0.16369674012246138,0.49938884236110104,-0.3315427912417812,0.3315427912417812,1,0.33569210223863966,-3.5,3.5,0,0,0.35,1.0,1.0,1.0,5,6,-1,0,0,0,0.7647058823529411,0,0,1,0,0,0,0.0,5
