Unnamed: 0,Spread,Total,Moneyline,Unnamed: 4,Unnamed: 5,Unnamed: 6
212 Troy,6-3 ATS 65%,4-5 O/U,6-4 SU,Create Free Account,Create Free Account,Create Free Account
Open,TROY -10.5,o51.5,-485,,,
Consensus,TROY -11.5,o51.5,-485,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
153 Coastal Carolina,5-4 ATS 69%,7-2 O/U,6-4 SU 1%,Create Free Account,Create Free Account,Create Free Account
154 South Carolina,5-4 ATS 31%,4-5 O/U,3-7 SU 99%,Create Free Account,Create Free Account,Create Free Account
Open,SC -23.5,o53.5,-2400,,,
Consensus,SC -23.5,o53.5,-2400,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
Furman,,,,Create Free Account,Create Free Account,Create Free Account
Clemson,4-6 ATS,4-6 O/U,5-5 SU,Create Free Account,Create Free Account,Create Free Account
Open,,,,,,
Consensus,,,,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
199 Louisiana-Monroe,2-7 ATS 42%,5-4 O/U,3-7 SU,Create Free Account,Create Free Account,Create Free Account
200 Texas State,3-6 ATS 58%,6-3 O/U,4-6 SU,Create Free Account,Create Free Account,Create Free Account
Open,TXST -17.5,o54.5,-1600,,,
Consensus,TXST -18.5,o56.5,-1200,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
141 Pittsburgh,6-3 ATS 31%,6-3 O/U,7-3 SU 14%,Create Free Account,Create Free Account,Create Free Account
142 Georgia Tech,5-4 ATS 69%,5-4 O/U,9-1 SU 86%,Create Free Account,Create Free Account,Create Free Account
Open,GT -3,o62.5,-135,,,
Consensus,GT -3,o62.5,-142,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
149 Nebraska,3-5-1 ATS 26%,6-3 O/U,7-3 SU 4%,Create Free Account,Create Free Account,Create Free Account
150 Penn State,3-6 ATS 74%,6-3 O/U,4-6 SU 96%,Create Free Account,Create Free Account,Create Free Account
Open,PSU -7.5,o44.5,-340,,,
Consensus,PSU -8.5,o44.5,-345,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
161 Colorado State,4-5 ATS 57%,3-6 O/U,2-8 SU,Create Free Account,Create Free Account,Create Free Account
162 Boise State,5-3-1 ATS 43%,4-5 O/U,6-4 SU,Create Free Account,Create Free Account,Create Free Account
Open,BOISE -17.5,o45.5,-800,,,
Consensus,BOISE -16.5,o45.5,-800,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
219 New Mexico,5-4 ATS 75%,5-4 O/U,7-3 SU,Create Free Account,Create Free Account,Create Free Account
220 Air Force,3-6 ATS 25%,5-4 O/U,3-7 SU,Create Free Account,Create Free Account,Create Free Account
Open,UNM -1.5,o58.5,-110,,,
Consensus,UNM -3,o57.5,-142,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
137 Tennessee,3-6 ATS 58%,6-3 O/U,7-3 SU 96%,Create Free Account,Create Free Account,Create Free Account
138 Florida,3-6 ATS 42%,4-5 O/U,3-7 SU 4%,Create Free Account,Create Free Account,Create Free Account
Open,FLA -1.5,o56.5,-166,,,
Consensus,TENN -3.5,o57.5,-166,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
171 California,4-5 ATS 65%,4-5 O/U,6-4 SU 90%,Create Free Account,Create Free Account,Create Free Account
172 Stanford,3-7 ATS 35%,5-5 O/U,3-7 SU 10%,Create Free Account,Create Free Account,Create Free Account
Open,CAL -4.5,o48.5,-162,,,
Consensus,CAL -3,o49.5,-142,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
191 Illinois,6-3 ATS 45%,5-4 O/U,7-3 SU 99%,Create Free Account,Create Free Account,Create Free Account
192 Wisconsin,5-5 ATS 55%,2-8 O/U,3-7 SU 1%,Create Free Account,Create Free Account,Create Free Account
Open,ILL -9.5,o41.5,-345,,,
