game_id,season,week,neutral_site,home_games_played,home_wins,home_losses,home_points_scored_total,home_points_allowed_total,home_points_scored_avg,home_points_allowed_avg,home_point_differential_avg,home_win_pct,home_total_yards_avg,home_passing_yards_avg,home_rushing_yards_avg,home_turnovers_avg,home_first_downs_avg,home_third_down_pct,home_penalties_avg,home_penalty_yards_avg,away_games_played,away_wins,away_losses,away_points_scored_total,away_points_allowed_total,away_points_scored_avg,away_points_allowed_avg,away_point_differential_avg,away_win_pct,away_total_yards_avg,away_passing_yards_avg,away_rushing_yards_avg,away_turnovers_avg,away_first_downs_avg,away_third_down_pct,away_penalties_avg,away_penalty_yards_avg,win_pct_diff,points_scored_diff,points_allowed_diff,point_differential_diff,yards_diff,passing_yards_diff,rushing_yards_diff,turnovers_diff,h2h_games,h2h_win_pct,home_recent_win_pct,away_recent_win_pct,recent_form_diff,home_score,away_score,home_win,point_differential,spread,total,covered_spread
401757168,2024,3,0,2,1,1,42,48,21.0,24.0,-3.0,0.5,0,0,0,0,0,0,0,0,1,0,1,20,27,20.0,27.0,-7.0,0.0,0,0,0,0,0,0,0,0,0.5,1.0,-3.0,4.0,0,0,0,0,0,0.5,0,0,0,44,41,1,3,,,
401757233,2024,3,0,2,1,1,42,43,21.0,21.5,-0.5,0.5,0,0,0,0,0,0,0,0,2,1,1,63,53,31.5,26.5,5.0,0.5,0,0,0,0,0,0,0,0,0.0,-10.5,-5.0,-5.5,0,0,0,0,0,0.5,0,0,0,38,28,1,10,,,
401757234,2024,3,0,2,0,2,34,101,17.0,50.5,-33.5,0.0,0,0,0,0,0,0,0,0,2,1,1,44,41,22.0,20.5,1.5,0.5,0,0,0,0,0,0,0,0,-0.5,-5.0,30.0,-35.0,0,0,0,0,0,0.5,0,0,0,41,34,1,7,,,
401757235,2024,3,0,2,0,2,18,66,9.0,33.0,-24.0,0.0,0,0,0,0,0,0,0,0,1,0,1,17,21,17.0,21.0,-4.0,0.0,0,0,0,0,0,0,0,0,0.0,-8.0,12.0,-20.0,0,0,0,0,0,0.5,0,0,0,27,13,1,14,,,
401757256,2024,3,0,2,1,1,46,41,23.0,20.5,2.5,0.5,0,0,0,0,0,0,0,0,2,1,1,52,41,26.0,20.5,5.5,0.5,0,0,0,0,0,0,0,0,0.0,-3.0,0.0,-3.0,0,0,0,0,0,0.5,0,0,0,23,13,1,10,,,
401757257,2024,3,0,2,1,1,31,23,15.5,11.5,4.0,0.5,0,0,0,0,0,0,0,0,2,2,0,40,17,20.0,8.5,11.5,1.0,0,0,0,0,0,0,0,0,-0.5,-4.5,3.0,-7.5,0,0,0,0,0,0.5,0,0,0,49,14,1,35,,,
401757258,2024,3,0,2,1,1,31,63,15.5,31.5,-16.0,0.5,0,0,0,0,0,0,0,0,2,0,2,24,76,12.0,38.0,-26.0,0.0,0,0,0,0,0,0,0,0,0.5,3.5,-6.5,10.0,0,0,0,0,0,0.5,0,0,0,13,14,0,-1,,,
401760368,2024,3,0,2,1,1,50,60,25.0,30.0,-5.0,0.5,0,0,0,0,0,0,0,0,1,1,0,49,13,49.0,13.0,36.0,1.0,0,0,0,0,0,0,0,0,-0.5,-24.0,17.0,-41.0,0,0,0,0,0,0.5,0,0,0,49,30,1,19,,,
401760369,2024,3,0,3,2,1,85,72,28.333333333333332,24.0,4.333333333333332,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.6666666666666666,28.333333333333332,24.0,4.333333333333332,0,0,0,0,0,0.5,0,0,0,56,7,1,49,,,
401760370,2024,3,0,3,2,1,66,80,22.0,26.666666666666668,-4.666666666666668,0.6666666666666666,0,0,0,0,0,0,0,0,1,0,1,0,69,0.0,69.0,-69.0,0.0,0,0,0,0,0,0,0,0,0.6666666666666666,22.0,-42.33333333333333,64.33333333333333,0,0,0,0,0,0.5,0,0,0,23,3,1,20,,,
401761604,2024,3,0,2,1,1,20,48,10.0,24.0,-14.0,0.5,0,0,0,0,0,0,0,0,2,1,1,73,27,36.5,13.5,23.0,0.5,0,0,0,0,0,0,0,0,0.0,-26.5,10.5,-37.0,0,0,0,0,0,0.5,0,0,0,0,38,0,-38,,,
401761605,2024,3,0,2,0,2,23,101,11.5,50.5,-39.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,11.5,50.5,-39.0,0,0,0,0,0,0.5,0,0,0,37,21,1,16,,,
401761606,2024,3,0,2,0,2,27,66,13.5,33.0,-19.5,0.0,0,0,0,0,0,0,0,0,1,0,1,17,51,17.0,51.0,-34.0,0.0,0,0,0,0,0,0,0,0,0.0,-3.5,-18.0,14.5,0,0,0,0,0,0.5,0,0,0,38,7,1,31,,,
401761607,2024,3,0,2,1,1,55,54,27.5,27.0,0.5,0.5,0,0,0,0,0,0,0,0,2,2,0,54,24,27.0,12.0,15.0,1.0,0,0,0,0,0,0,0,0,-0.5,0.5,15.0,-14.5,0,0,0,0,0,0.5,0,0,0,38,22,1,16,,,
401761608,2024,3,0,2,1,1,54,47,27.0,23.5,3.5,0.5,0,0,0,0,0,0,0,0,2,2,0,83,26,41.5,13.0,28.5,1.0,0,0,0,0,0,0,0,0,-0.5,-14.5,10.5,-25.0,0,0,0,0,0,0.5,0,0,0,7,28,0,-21,,,
401762463,2024,3,0,2,1,1,76,80,38.0,40.0,-2.0,0.5,0,0,0,0,0,0,0,0,2,0,2,0,78,0.0,39.0,-39.0,0.0,0,0,0,0,0,0,0,0,0.5,38.0,1.0,37.0,0,0,0,0,0,0.5,0,0,0,31,28,1,3,,,
401762464,2024,3,0,2,0,2,14,54,7.0,27.0,-20.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,7.0,27.0,-20.0,0,0,0,0,0,0.5,0,0,0,42,35,1,7,,,
401762465,2024,3,0,2,1,1,49,28,24.5,14.0,10.5,0.5,0,0,0,0,0,0,0,0,2,2,0,90,31,45.0,15.5,29.5,1.0,0,0,0,0,0,0,0,0,-0.5,-20.5,-1.5,-19.0,0,0,0,0,0,0.5,0,0,0,23,42,0,-19,,,
401762466,2024,3,0,2,1,1,23,47,11.5,23.5,-12.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,11.5,23.5,-12.0,0,0,0,0,0,0.5,0,0,0,38,17,1,21,,,
401762467,2024,3,0,2,0,2,60,85,30.0,42.5,-12.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,30.0,42.5,-12.5,0,0,0,0,0,0.5,0,0,0,48,20,1,28,,,
401762817,2024,3,0,2,1,1,35,79,17.5,39.5,-22.0,0.5,0,0,0,0,0,0,0,0,2,1,1,55,29,27.5,14.5,13.0,0.5,0,0,0,0,0,0,0,0,0.0,-10.0,25.0,-35.0,0,0,0,0,0,0.5,0,0,0,28,31,0,-3,,,
401762818,2024,3,0,2,0,2,3,73,1.5,36.5,-35.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1.5,36.5,-35.0,0,0,0,0,0,0.5,0,0,0,34,29,1,5,,,
401762819,2024,3,0,2,1,1,61,45,30.5,22.5,8.0,0.5,0,0,0,0,0,0,0,0,1,0,1,21,38,21.0,38.0,-17.0,0.0,0,0,0,0,0,0,0,0,0.5,9.5,-15.5,25.0,0,0,0,0,0,0.5,0,0,0,60,0,1,60,,,
401752708,2024,4,0,3,3,0,111,33,37.0,11.0,26.0,1.0,0,0,0,0,0,0,0,0,3,2,1,143,62,47.666666666666664,20.666666666666668,26.999999999999996,0.6666666666666666,0,0,0,0,0,0,0,0,0.33333333333333337,-10.666666666666664,-9.666666666666668,-0.9999999999999964,0,0,0,0,0,0.5,0,0,0,32,31,1,1,,,
401752709,2024,4,0,3,3,0,121,39,40.333333333333336,13.0,27.333333333333336,1.0,0,0,0,0,0,0,0,0,3,1,2,81,38,27.0,12.666666666666666,14.333333333333334,0.3333333333333333,0,0,0,0,0,0,0,0,0.6666666666666667,13.333333333333336,0.3333333333333339,13.000000000000002,0,0,0,0,0,0.5,0,0,0,26,7,1,19,,,
401752710,2024,4,0,3,3,0,60,27,20.0,9.0,11.0,1.0,0,0,0,0,0,0,0,0,1,0,1,0,24,0.0,24.0,-24.0,0.0,0,0,0,0,0,0,0,0,1.0,20.0,-15.0,35.0,0,0,0,0,0,0.5,0,0,0,56,10,1,46,,,
401752711,2024,4,0,3,3,0,134,65,44.666666666666664,21.666666666666668,22.999999999999996,1.0,0,0,0,0,0,0,0,0,3,3,0,90,61,30.0,20.333333333333332,9.666666666666668,1.0,0,0,0,0,0,0,0,0,0.0,14.666666666666664,1.3333333333333357,13.333333333333329,0,0,0,0,0,0.5,0,0,0,45,10,1,35,,,
401752712,2024,4,0,3,3,0,121,37,40.333333333333336,12.333333333333334,28.0,1.0,0,0,0,0,0,0,0,0,2,1,1,28,37,14.0,18.5,-4.5,0.5,0,0,0,0,0,0,0,0,0.5,26.333333333333336,-6.166666666666666,32.5,0,0,0,0,0,0.5,0,0,0,38,10,1,28,,,
401752713,2024,4,0,3,3,0,155,47,51.666666666666664,15.666666666666666,36.0,1.0,0,0,0,0,0,0,0,0,3,2,1,69,52,23.0,17.333333333333332,5.666666666666668,0.6666666666666666,0,0,0,0,0,0,0,0,0.33333333333333337,28.666666666666664,-1.666666666666666,30.333333333333332,0,0,0,0,0,0.5,0,0,0,29,20,1,9,,,
401752714,2024,4,0,3,3,0,101,19,33.666666666666664,6.333333333333333,27.333333333333332,1.0,0,0,0,0,0,0,0,0,3,3,0,111,42,37.0,14.0,23.0,1.0,0,0,0,0,0,0,0,0,0.0,-3.3333333333333357,-7.666666666666667,4.333333333333332,0,0,0,0,0,0.5,0,0,0,24,17,1,7,,,
401752715,2024,4,0,3,2,1,158,87,52.666666666666664,29.0,23.666666666666664,0.6666666666666666,0,0,0,0,0,0,0,0,3,2,1,107,108,35.666666666666664,36.0,-0.3333333333333357,0.6666666666666666,0,0,0,0,0,0,0,0,0.0,17.0,-7.0,24.0,0,0,0,0,0,0.5,0,0,0,56,24,1,32,,,
401752716,2024,4,0,3,3,0,120,30,40.0,10.0,30.0,1.0,0,0,0,0,0,0,0,0,3,1,2,60,122,20.0,40.666666666666664,-20.666666666666664,0.3333333333333333,0,0,0,0,0,0,0,0,0.6666666666666667,20.0,-30.666666666666664,50.666666666666664,0,0,0,0,0,0.5,0,0,0,70,21,1,49,,,
401752723,2024,4,0,3,2,1,72,31,24.0,10.333333333333334,13.666666666666666,0.6666666666666666,0,0,0,0,0,0,0,0,3,0,3,65,116,21.666666666666668,38.666666666666664,-16.999999999999996,0.0,0,0,0,0,0,0,0,0,0.6666666666666666,2.333333333333332,-28.33333333333333,30.666666666666664,0,0,0,0,0,0.5,0,0,0,55,0,1,55,,,
401752841,2024,4,0,3,3,0,162,30,54.0,10.0,44.0,1.0,0,0,0,0,0,0,0,0,3,0,3,56,115,18.666666666666668,38.333333333333336,-19.666666666666668,0.0,0,0,0,0,0,0,0,0,1.0,35.33333333333333,-28.333333333333336,63.66666666666667,0,0,0,0,0,0.5,0,0,0,41,7,1,34,,,
